,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC
Date,,,,,,,,,,,,,,,,,,
2013-01-02,13412.5498046875,1462.4200439453125,3112.260009765625,13412.5498046875,1462.4200439453125,3112.260009765625,13412.7099609375,1462.4300537109375,3112.64990234375,13104.2998046875,1426.18994140625,3083.489990234375,13104.2998046875,1426.18994140625,3091.330078125,161430000,4202600000,2111300000
2013-01-03,13391.3603515625,1459.3699951171875,3100.570068359375,13391.3603515625,1459.3699951171875,3100.570068359375,13430.599609375,1465.469970703125,3118.179931640625,13358.2998046875,1455.530029296875,3092.280029296875,13413.009765625,1462.4200439453125,3108.489990234375,129630000,3829730000,1769420000
2013-01-04,13435.2099609375,1466.469970703125,3101.659912109375,13435.2099609375,1466.469970703125,3101.659912109375,13447.1103515625,1467.93994140625,3108.43994140625,13376.23046875,1458.989990234375,3090.81005859375,13391.0498046875,1459.3699951171875,3100.8798828125,107590000,3424290000,1745140000
2013-01-07,13384.2900390625,1461.8900146484375,3098.81005859375,13384.2900390625,1461.8900146484375,3098.81005859375,13436.1298828125,1466.469970703125,3102.35009765625,13343.3203125,1456.6199951171875,3083.8798828125,13436.1298828125,1466.469970703125,3089.169921875,113120000,3304970000,1702540000
2013-01-08,13328.849609375,1457.1500244140625,3091.81005859375,13328.849609375,1457.1500244140625,3091.81005859375,13377.419921875,1461.8900146484375,3103.389892578125,13293.1298828125,1451.6400146484375,3076.60009765625,13377.419921875,1461.8900146484375,3098.4599609375,129570000,3601600000,1744380000
2013-01-09,13390.509765625,1461.02001953125,3105.81005859375,13390.509765625,1461.02001953125,3105.81005859375,13416.5498046875,1464.72998046875,3111.219970703125,13329.080078125,1457.1500244140625,3096.340087890625,13329.919921875,1457.1500244140625,3099.64990234375,123070000,3674390000,1732510000
2013-01-10,13471.2197265625,1472.1199951171875,3121.760009765625,13471.2197265625,1472.1199951171875,3121.760009765625,13478.2001953125,1472.300048828125,3127.719970703125,13382.2900390625,1461.02001953125,3098.469970703125,13391.8203125,1461.02001953125,3125.639892578125,133520000,4081840000,1754240000
2013-01-11,13488.4296875,1472.050048828125,3125.6298828125,13488.4296875,1472.050048828125,3125.6298828125,13496.6796875,1472.75,3126.590087890625,13439.9697265625,1467.5799560546875,3114.10009765625,13471.4501953125,1472.1199951171875,3122.1201171875,119200000,3340650000,1772600000
2013-01-14,13507.3203125,1470.6800537109375,3117.5,13507.3203125,1470.6800537109375,3117.5,13520.1796875,1472.050048828125,3123.47998046875,13459.83984375,1465.68994140625,3104.080078125,13488.4296875,1472.050048828125,3113.64990234375,118460000,3003010000,1876050000
2013-01-15,13534.8896484375,1472.3399658203125,3110.780029296875,13534.8896484375,1472.3399658203125,3110.780029296875,13546.3701171875,1473.31005859375,3112.2900390625,13445.7998046875,1463.760009765625,3093.320068359375,13507.3203125,1470.6700439453125,3101.06005859375,102280000,3135350000,1852870000
2013-01-16,13511.23046875,1472.6300048828125,3117.5400390625,13511.23046875,1472.6300048828125,3117.5400390625,13534.8896484375,1473.9599609375,3124.64990234375,13468.9599609375,1467.5999755859375,3106.7900390625,13534.8896484375,1472.3299560546875,3110.719970703125,118540000,3384080000,1692380000
2013-01-17,13596.01953125,1480.93994140625,3136.0,13596.01953125,1480.93994140625,3136.0,13633.8896484375,1485.1600341796875,3144.050048828125,13510.240234375,1472.6300048828125,3125.7900390625,13511.23046875,1472.6300048828125,3130.489990234375,183900000,3706710000,1766510000
